x,y,heading_rad,speed_mps,accel_mps2,yaw_rate_rad_s,t,torque_cmd,requested_torque,brake_cmd,steer_cmd,lap_count,source,wall_time
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.25999999999999995,0.0,0.0,0.0,0.0,0,piloto,1784516023.9850466
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.27999999999999997,0.0,0.0,0.0,0.0,0,piloto,1784516024.0954156
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0,piloto,1784516024.1936488
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0,piloto,1784516024.2674842
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0,piloto,1784516024.3630016
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.36000000000000004,0.0,0.0,0.0,0.0,0,piloto,1784516024.454639
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.38000000000000006,0.0,0.0,0.0,0.0,0,piloto,1784516024.5275838
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,0,piloto,1784516024.6330884
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.4200000000000001,0.0,0.0,0.0,0.0,0,piloto,1784516024.74385
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.4400000000000001,0.0,0.0,0.0,0.0,0,piloto,1784516024.8746552
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.46000000000000013,0.0,0.0,0.0,0.0,0,piloto,1784516024.9748714
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.48000000000000015,0.0,0.0,0.0,0.0,0,piloto,1784516025.0730968
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0,piloto,1784516025.2119098
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.5200000000000001,0.0,0.0,0.0,0.0,0,piloto,1784516025.3095887
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.5400000000000001,0.0,0.0,0.0,0.0,0,piloto,1784516025.3958328
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.5600000000000002,0.0,0.0,0.0,0.0,0,piloto,1784516025.4857833
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.5800000000000002,0.0,0.0,0.0,0.0,0,piloto,1784516025.567947
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.6000000000000002,0.0,0.0,0.0,0.0,0,piloto,1784516025.6591542
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.6200000000000002,0.0,0.0,0.0,0.0,0,piloto,1784516025.8182724
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.6400000000000002,0.0,0.0,0.0,0.0,0,piloto,1784516025.91908
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.6600000000000003,0.0,0.0,0.0,0.0,0,piloto,1784516026.0117517
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.6800000000000003,0.0,0.0,0.0,0.0,0,piloto,1784516026.0992768
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.7000000000000003,0.0,0.0,0.0,0.0,0,piloto,1784516026.184303
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.7200000000000003,0.0,0.0,0.0,0.0,0,piloto,1784516026.2975237
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.7400000000000003,0.0,0.0,0.0,0.0,0,piloto,1784516026.4265165
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.7600000000000003,0.0,0.0,0.0,0.0,0,piloto,1784516026.5204418
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.7800000000000004,0.0,0.0,0.0,0.0,0,piloto,1784516026.5946834
